question_id,question,question_type,difficulty,answer,faithfulness,answer_relevancy,context_precision,context_recall
q015,Which players were teammates of both Messi and Ronaldo at any point in their careers?,multi_hop,hard,"제 지식 베이스에 따르면, 메시와 호날두는 서로 라이벌 관계였으며, 동시에 두 선수와 모두 클럽 팀 동료였던 선수는 없습니다. 메시가 바르셀로나, 파리 생제르맹, 인터 마이애미에서 활약했고, 호날두는 레알 마드리드 등 다른 클럽에서 활약했으나, 두 선수와 모두 같은 팀에서 뛴 선수에 대한 정보는 제공된 컨텍스트에 없습니다.",0.875,0.8710160158935123,0.9999999999,0.5
q016,Which players were managed by Pep Guardiola at Barcelona and later won the Champions League with a different club?,multi_hop,hard,"제공된 컨텍스트에 따르면, 페프 과르디올라가 바르셀로나에서 지도한 여러 선수들이 이후 다른 클럽에서 UEFA 챔피언스리그 우승을 차지했다고 합니다. 하지만 구체적으로 어떤 선수들이 다른 클럽에서 챔피언스리그를 우승했는지에 대한 명확한 이름이나 정보는 제공되어 있지 않습니다. 

따라서, 정확한 선수 명단을 알려드리기 어렵습니다.",1.0,0.0,0.0,0.3333333333333333
q017,Which manager won the Champions League both as a player and as a manager?,multi_hop,medium,"컨텍스트에 따르면, 프란츠 베켄바워(Franz Beckenbauer)는 선수와 감독 모두로서 FIFA 월드컵을 우승한 몇 안 되는 인물 중 하나이며, 지네딘 지단(Zinedine Zidane)도 선수로서 2002년 UEFA 챔피언스리그를 우승했고, 감독으로서도 2016, 2017년 챔피언스리그를 우승했습니다. 따라서 베켄바워와 지단이 챔피언스리그(또는 월드컵 포함 주요 대회)를 선수와 감독으로 모두 우승한 사례로 볼 수 있습니다.",1.0,0.6604696833288334,0.4166666666458333,0.5
q018,Which player scored in a Champions League final and then went on to manage a club that won the Champions League?,multi_hop,hard,"컨텍스트에 따르면, 지네딘 지단(Zinedine Zidane)은 선수 시절 2002년 UEFA 챔피언스리그 결승에서 바이어 레버쿠젠을 상대로 골을 넣었고, 이후 레알 마드리드를 감독하며 챔피언스리그 우승을 차지했습니다. 따라서 지단이 해당 조건에 부합하는 선수입니다.",1.0,0.7588319814591181,0.3333333333,1.0
q019,Which Brazilian player won the World Cup in 1994 and 2002?,multi_hop,medium,"컨텍스트에 따르면, 1994년과 2002년에 FIFA 월드컵을 우승한 브라질 선수는 Cafu, Ronaldo Luis Nazario de Lima(또는 Ronaldo Nazario), 그리고 Roberto Carlos입니다.",0.6666666666666666,0.9302858534225343,0.3928571428375,0.0
q020,Who coached the team that won the Champions League in the season when Messi won his first Ballon d'Or?,multi_hop,hard,"Messi가 첫 번째 발롱도르를 수상한 2009년 시즌에 UEFA 챔피언스리그를 우승한 팀은 FC 바르셀로나였으며, 그 팀의 감독은 페프 과르디올라(Pep Guardiola)였습니다.",1.0,0.8008059411868033,0.6388888888675925,1.0
q021,Which Argentine player became World Cup champion in both 1978 and has a connection to Diego Maradona?,multi_hop,hard,제 지식 베이스에 해당 내용이 없어 정확한 답변이 어렵습니다.,1.0,-0.0,0.0,0.4
q022,Which national team has produced the most individual Ballon d'Or winners?,multi_hop,hard,제 지식 베이스에 해당 내용이 없어 정확한 답변이 어렵습니다.,1.0,-0.0,0.0,0.0
q023,How many clubs did Roberto Carlos play for after leaving Real Madrid?,aggregation,medium,"Roberto Carlos played for four clubs after leaving Real Madrid: Fenerbahce, Corinthians, Delhi Dynamos, and Akhisarspor.",1.0,0.938506801913154,0.9999999999,1.0
q024,How many UEFA Champions League titles has Real Madrid won in total?,aggregation,easy,Real Madrid has won a total of 15 UEFA Champions League titles.,1.0,0.9646503785918137,0.7555555555303703,1.0
q025,How many different teams has Cristiano Ronaldo played for in his career?,aggregation,easy,"크리스티아누 호날두는 그의 경력 동안 총 5개의 서로 다른 팀에서 뛰었습니다. 이 팀들은 Sporting CP, Manchester United, Real Madrid, Juventus, 그리고 Al Nassr입니다.",1.0,0.9756350685983423,0.99999999995,1.0
q026,How many Premier League titles did Manchester United win under Sir Alex Ferguson?,aggregation,medium,맨체스터 유나이티드는 알렉스 퍼거슨 감독 재임 기간 동안 프리미어리그 타이틀을 13회 우승했습니다.,1.0,0.9535893843305527,0.99999999995,1.0
q027,Ronaldo hat-trick 2009 Champions League Bayern Munich,keyword_exact,medium,제 지식 베이스에 해당 내용이 없어 정확한 답변이 어렵습니다.,0.5,0.0,0.0,0.0
q028,Messi Ballon d'Or 2012 record goals,keyword_exact,medium,"리오넬 메시가 2012년 발롱도르를 수상할 당시, 그는 2011-12 시즌에 모든 대회에서 무려 91골을 기록했습니다. 이 91골은 세계 기록으로 아직도 깨지지 않은 대기록입니다.",1.0,0.7073037418075522,0.9999999999,0.5
q029,Aguero 93:20 goal Premier League title Manchester City 2012,keyword_exact,medium,2012년 맨체스터 시티가 프리미어리그 우승을 차지한 결정적인 순간은 세르히오 아구에로가 QPR을 상대로 경기 종료 직전인 93분 20초에 넣은 골 덕분이었습니다. 이 골로 맨시티는 맨체스터 유나이티드를 골 득실차로 제치고 44년 만에 리그 우승을 차지했습니다.,1.0,0.643877161417099,0.9999999999,1.0
q030,Which lesser-known team from Portugal won the Champions League in 2004?,factual,hard,제 지식 베이스에 해당 내용이 없어 정확한 답변이 어렵습니다.,0.5,0.0,0.0,0.0
MEAN,— 전체 평균 —,all,all,,0.9244,0.7282,0.6028,0.6633
